name,description,imageUrl,slug,_id,price,discountPercentage,isFeaturedProduct,stockLevel,category
Nautilus Lounge Chair,A lounge chair with a shell-inspired design and premium upholstery.,https://cdn.sanity.io/images/eywckf5j/production/712133b7d28f591f67bb25c741b6305ad1c84b59-134x134.png,null,YlhK9NX1vGHZafm0IxOqoC,1450,12,TRUE,10,Chair
Futuristic Sleek Modern Chair,A modern chair with a carbon fiber frame and bold red accents.,https://cdn.sanity.io/images/eywckf5j/production/cc09d3ce34a323e7d60432a366145277d5bb3c4f-606x528.png,null,YlhK9NX1vGHZafm0IxOsDI,2000,0,TRUE,3,Chair
Sobuy Blue Folding Chair Wooden Padded,A foldable wooden chair with a padded seat for extra comfort.,https://cdn.sanity.io/images/eywckf5j/production/c38fce5a042216f5901d9acb2ab570e098997ce0-350x350.png,null,YlhK9NX1vGHZafm0IxOuMq,120,12,FALSE,30,Chair
Nordic Net Red Chair,An acrylic dining chair with a sleek and minimalist Nordic design.,https://cdn.sanity.io/images/eywckf5j/production/c919c7d6e7b1d3ece287cde7c3fff40c97216ac3-374x374.png,null,YlhK9NX1vGHZafm0IxOuWW,320,10,TRUE,20,Chair
Tribù Elio Chair,A sleek outdoor chair with natural wooden elements and a modern look.,https://cdn.sanity.io/images/eywckf5j/production/9967004db2d5e1235db7525ed72aaa32bc4f95a7-720x522.png,null,wPP85IKp4BBNa4TZwtzfPS,1200,10,TRUE,25,Chair
Armchair Tortuga,An elegant armchair with plush cushions and a curved design for comfort.,https://cdn.sanity.io/images/eywckf5j/production/d6aed5e3bb1c45542716cb31036c740f1113625e-1398x1194.png,null,wPP85IKp4BBNa4TZwtzfny,850,0,FALSE,10,Chair
Stylish Golden Metal Legs Mint Blue Fabric Velvet Sofa Leisure Armchair,A luxurious armchair with velvet fabric and golden metal legs.,https://cdn.sanity.io/images/eywckf5j/production/7a9f255386e1ee47303b1a578d6b7d43029b469b-1018x1100.png,null,wPP85IKp4BBNa4TZwtzgBG,780,0,FALSE,12,Sofa
Cozy Armchair,Compact armchair with a cozy design for small spaces.,https://cdn.sanity.io/images/eywckf5j/production/11f2eaee2d3d87ab7f9c58e4649636508887a573-534x554.png,null,wPP85IKp4BBNa4TZwtzgyI,520,8,FALSE,15,Chair
Liberty Wood 63' Floating Entertainment Center,Versatile entertainment chair for modern interiors.,https://cdn.sanity.io/images/eywckf5j/production/05aedefc11bd3ed1f02edb96399c8abc357e05c1-624x346.png,null,wPP85IKp4BBNa4TZwtzhck,1100,8,FALSE,7,Chair
Matilda Velvet Chair – Pink,A vibrant pink velvet chair with a retro-inspired design.,https://cdn.sanity.io/images/eywckf5j/production/12248579c6c97766e14e944edef6b227f367f4f2-446x458.png,null,wPP85IKp4BBNa4TZwtziEk,600,15,TRUE,12,Chair
Cantilever Chair,A modern cantilever chair with a unique floating effect.,https://cdn.sanity.io/images/eywckf5j/production/90a8d692777c7c2b80c7e49916bdce829702c35d-342x342.png,null,wPP85IKp4BBNa4TZwtzj5S,780,15,TRUE,5,Chair
